EUROPE, 70144, 53.5775, 23.106 
ASIA, 9992, 37, 85 
AFRICA, 665, 5.3, 21.2 
AUSTRALIA, 56, -21, 131 
NORTH AMERICA, 19610, 42, -104 
SOUTH AMERICA, 1798, -11, -61 
World, 102265, 0, 0 
