EUROPE, 561658, 53.5775, 23.106 
ASIA, 193910, 37, 85 
AFRICA, 7539, 5.3, 21.2 
AUSTRALIA, 6207, -21, 131 
NORTH AMERICA, 293798, 42, -104 
SOUTH AMERICA, 21067, -11, -61 
World, 1084179, 0, 0 
