EUROPE, 103284, 53.5775, 23.106 
ASIA, 100154, 37, 85 
AFRICA, 678, 5.3, 21.2 
AUSTRALIA, 752, -21, 131 
NORTH AMERICA, 2881, 42, -104 
SOUTH AMERICA, 1604, -11, -61 
World, 209353, 0, 0 
